Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2023-12-14 22:01:52,2023-12-15 22:01:52,UTC-08:00,2023-12-14 22:01:52,2023-12-15 09:00:17,81,13.4,497,658,347,83,67,161,617,110,79,56,false
2023-12-13 20:45:35,2023-12-14 22:01:52,UTC-08:00,2023-12-13 20:45:35,2023-12-14 04:35:59,63,13.6,368,470,238,67,63,102,589,73,78,87,false
2023-12-12 21:00:57,2023-12-13 20:45:35,UTC-08:00,2023-12-12 21:00:57,2023-12-13 06:50:45,81,13.7,474,589,325,62,87,115,588,67,83,85,false
2023-12-11 21:00:38,2023-12-12 21:00:57,UTC-08:00,2023-12-11 21:00:38,2023-12-12 06:50:11,78,14.2,465,589,357,56,52,124,599,62,83,76,false
2023-12-10 21:00:10,2023-12-11 21:00:38,UTC-08:00,2023-12-10 21:00:10,2023-12-11 06:49:36,83,13.6,484,589,298,80,106,105,582,92,84,58,false
2023-12-10 00:07:09,2023-12-10 21:00:10,UTC-08:00,2023-12-10 00:07:09,2023-12-10 08:44:53,70,13.8,434,517,287,72,75,83,619,90,83,42,false
2023-12-08 21:00:04,2023-12-10 00:07:09,UTC-08:00,2023-12-08 21:00:04,2023-12-09 06:20:27,71,14.2,446,560,239,60,147,114,626,84,81,80,false
2023-12-06 20:45:01,2023-12-07 20:45:01,UTC-08:00,2023-12-06 20:45:01,2023-12-07 04:35:14,71,14.5,413,470,362,33,18,57,582,40,90,64,false
2023-12-05 21:09:50,2023-12-06 20:45:01,UTC-08:00,2023-12-05 21:09:50,2023-12-06 06:50:48,85,14.2,466,580,382,49,35,114,546,43,80,56,false
2023-12-04 21:46:38,2023-12-05 21:09:50,UTC-08:00,2023-12-04 21:46:38,2023-12-05 06:56:01,84,14.4,454,547,320,72,62,93,541,53,82,47,false
2023-12-02 23:05:50,2023-12-04 00:00:00,UTC-08:00,2023-12-02 23:05:50,2023-12-03 08:00:56,78,14.1,381,535,198,63,120,154,488,0,73,58,false
2023-12-01 22:23:28,2023-12-02 23:05:50,UTC-08:00,2023-12-01 22:23:28,2023-12-02 06:39:01,100,14.7,454,495,357,50,47,41,426,0,92,52,false
2023-11-30 21:17:46,2023-12-01 22:23:28,UTC-08:00,2023-12-01 10:48:54,2023-12-01 12:03:53,14,13.1,71,74,71,0,0,3,497,0,94,,true
2023-11-30 21:17:46,2023-12-01 22:23:28,UTC-08:00,2023-11-30 21:17:46,2023-12-01 06:19:57,100,13.4,488,542,448,16,24,54,454,64,90,54,false
2023-11-29 23:25:11,2023-11-30 21:17:46,UTC-08:00,2023-11-30 08:10:00,2023-11-30 10:59:00,19,15.5,102,169,74,17,11,67,551,64,88,,true
2023-11-29 23:25:11,2023-11-30 21:17:46,UTC-08:00,2023-11-29 23:25:11,2023-11-30 06:41:13,74,15.5,359,436,306,32,21,77,487,0,82,60,false
2023-11-28 21:00:33,2023-11-29 23:25:11,UTC-08:00,2023-11-28 21:00:33,2023-11-29 08:15:19,100,16.5,534,674,425,74,35,140,495,5,79,73,false
2023-11-27 21:05:28,2023-11-28 21:00:33,UTC-08:00,2023-11-27 21:05:28,2023-11-28 09:30:55,99,17.0,551,745,418,44,89,194,560,42,74,62,false
2023-11-26 20:50:18,2023-11-27 21:05:28,UTC-08:00,2023-11-26 20:50:18,2023-11-27 06:50:30,88,14.7,472,600,195,88,189,128,538,50,81,50,false
2023-11-25 23:00:57,2023-11-26 20:50:18,UTC-08:00,2023-11-25 23:00:57,2023-11-26 10:00:39,87,15.1,512,659,356,77,79,147,591,71,78,56,false
2023-11-24 21:45:42,2023-11-25 23:00:57,UTC-08:00,2023-11-24 21:45:42,2023-11-25 06:20:12,75,14.7,425,514,338,61,26,89,569,89,85,41,false
2023-11-23 23:31:19,2023-11-24 21:45:42,UTC-08:00,2023-11-24 11:45:00,2023-11-24 13:00:00,7,15.5,41,75,41,0,0,34,610,89,63,,true
2023-11-23 23:31:19,2023-11-24 21:45:42,UTC-08:00,2023-11-23 23:31:19,2023-11-24 06:26:07,68,14.9,386,411,295,24,67,25,565,76,94,72,false
2023-11-22 23:31:52,2023-11-23 23:31:19,UTC-08:00,2023-11-22 23:31:52,2023-11-23 09:31:07,75,14.1,456,599,303,60,93,143,608,64,76,64,false
2023-11-22 00:12:42,2023-11-22 23:31:52,UTC-08:00,2023-11-22 00:12:42,2023-11-22 09:30:16,77,13.9,432,557,307,76,49,125,561,79,83,54,false
2023-11-20 20:30:38,2023-11-22 00:12:42,UTC-08:00,2023-11-21 09:10:00,2023-11-21 10:30:00,10,14.2,62,80,53,0,9,18,594,79,86,,true
2023-11-20 20:30:38,2023-11-22 00:12:42,UTC-08:00,2023-11-20 20:30:38,2023-11-21 04:34:58,73,13.5,422,484,304,69,49,62,581,31,87,52,false
2023-11-19 23:49:06,2023-11-20 20:30:38,UTC-08:00,2023-11-19 23:49:06,2023-11-20 09:50:22,91,13.8,493,601,196,105,192,108,542,54,82,67,false
2023-11-19 00:03:29,2023-11-19 23:49:06,UTC-08:00,2023-11-19 00:03:29,2023-11-19 09:53:44,85,14.2,468,588,223,119,126,120,553,67,79,45,false
2023-11-17 23:30:40,2023-11-19 00:03:29,UTC-08:00,2023-11-17 23:30:40,2023-11-18 09:35:33,80,13.8,413,604,235,94,84,191,518,82,68,29,false
2023-11-16 20:45:49,2023-11-17 23:30:40,UTC-08:00,2023-11-17 15:35:00,2023-11-17 16:40:00,9,14.5,52,65,48,4,0,13,570,82,100,,true
2023-11-16 20:45:49,2023-11-17 23:30:40,UTC-08:00,2023-11-16 20:45:49,2023-11-17 06:50:29,79,14.0,473,604,285,83,105,131,602,118,80,64,false
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,2023-11-16 11:35:00,2023-11-16 12:53:00,9,15.6,59,78,42,10,7,19,628,118,93,,true
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,2023-11-15 20:30:46,2023-11-16 04:27:23,60,14.1,360,476,269,39,52,116,598,72,78,76,false
2023-11-14 21:00:09,2023-11-15 20:30:46,UTC-08:00,2023-11-14 21:00:09,2023-11-15 06:50:41,81,14.1,487,590,314,41,132,103,600,74,84,69,false
2023-11-13 20:25:28,2023-11-14 21:00:09,UTC-08:00,2023-11-13 20:25:28,2023-11-14 04:35:31,74,13.8,430,490,291,100,39,60,579,48,88,67,false
2023-11-12 20:46:34,2023-11-13 20:25:28,UTC-08:00,2023-11-12 20:46:34,2023-11-13 06:20:32,86,14.0,483,573,158,112,213,90,559,71,84,52,false
2023-11-11 23:10:25,2023-11-12 20:46:34,UTC-08:00,2023-11-11 23:10:25,2023-11-12 09:02:56,75,14.6,435,592,301,62,72,157,578,51,76,40,false
2023-11-10 21:00:44,2023-11-11 23:10:25,UTC-08:00,2023-11-10 21:00:44,2023-11-11 06:20:00,85,15.2,436,559,278,67,91,123,516,81,81,62,false
2023-11-09 21:05:18,2023-11-10 21:00:44,UTC-08:00,2023-11-10 12:05:00,2023-11-10 14:34:00,16,15.5,94,149,59,1,34,55,610,81,83,,true
2023-11-09 21:05:18,2023-11-10 21:00:44,UTC-08:00,2023-11-09 21:05:18,2023-11-10 06:25:25,74,14.6,468,560,370,47,51,92,631,103,86,81,false
2023-11-08 20:40:47,2023-11-09 21:05:18,UTC-08:00,2023-11-08 20:40:47,2023-11-09 04:20:13,64,14.8,373,459,293,50,30,86,581,55,85,75,false
2023-11-07 21:00:26,2023-11-08 20:40:47,UTC-08:00,2023-11-07 21:00:26,2023-11-08 06:50:09,80,15.0,458,589,345,62,51,131,569,34,80,64,false
2023-11-06 20:30:51,2023-11-07 21:00:26,UTC-08:00,2023-11-06 20:30:51,2023-11-07 06:49:59,90,15.3,467,619,339,95,33,152,520,32,78,43,false
2023-11-03 22:32:19,2023-11-04 22:32:19,UTC-07:00,2023-11-03 22:32:19,2023-11-04 08:05:30,91,14.6,484,573,376,65,43,89,534,47,84,66,false
2023-11-02 22:15:12,2023-11-03 22:32:19,UTC-07:00,2023-11-02 22:15:12,2023-11-03 07:45:12,86,14.8,466,570,311,86,69,104,539,44,83,55,false
2023-11-01 20:45:27,2023-11-02 22:15:12,UTC-07:00,2023-11-01 20:45:27,2023-11-02 05:15:11,82,13.6,406,509,210,85,111,103,495,0,83,59,false
2023-10-31 21:00:10,2023-11-01 20:45:27,UTC-07:00,2023-10-31 21:00:10,2023-11-01 08:00:40,100,13.7,493,660,354,97,42,167,446,72,74,45,false
2023-10-30 20:45:17,2023-10-31 21:00:10,UTC-07:00,2023-10-31 09:00:00,2023-10-31 11:58:00,22,13.8,128,178,68,23,37,50,573,72,80,,true
2023-10-30 20:45:17,2023-10-31 21:00:10,UTC-07:00,2023-10-30 20:45:17,2023-10-31 04:35:29,73,13.7,397,470,315,32,50,73,541,24,87,66,false
2023-10-29 21:20:25,2023-10-30 20:45:17,UTC-07:00,2023-10-29 21:20:25,2023-10-30 06:50:26,93,13.7,477,570,414,19,44,93,514,27,86,64,false
2023-10-28 21:45:00,2023-10-29 21:20:25,UTC-07:00,2023-10-28 21:45:00,2023-10-29 09:34:00,93,16.8,523,709,488,14,21,186,565,86,77,53,false
2023-10-27 21:00:26,2023-10-28 21:45:00,UTC-07:00,2023-10-28 12:30:00,2023-10-28 13:45:00,8,14.0,47,75,36,8,3,28,613,86,64,,true
2023-10-27 21:00:26,2023-10-28 21:45:00,UTC-07:00,2023-10-27 21:00:26,2023-10-28 06:20:01,72,14.0,432,559,325,62,45,127,604,83,80,54,false
2023-10-26 21:40:17,2023-10-27 21:00:26,UTC-07:00,2023-10-26 21:40:17,2023-10-27 09:45:24,80,13.9,533,725,285,98,150,192,664,123,76,47,false
2023-10-25 20:45:09,2023-10-26 21:40:17,UTC-07:00,2023-10-25 20:45:09,2023-10-26 04:34:10,60,13.9,366,469,318,33,15,103,612,73,80,71,false
2023-10-24 20:30:10,2023-10-25 20:45:09,UTC-07:00,2023-10-24 20:30:10,2023-10-25 06:50:44,76,13.8,474,620,235,105,134,146,621,69,79,58,false
2023-10-23 21:19:34,2023-10-24 20:30:10,UTC-07:00,2023-10-23 21:19:34,2023-10-24 04:14:55,73,13.7,372,415,187,78,107,43,511,20,90,61,false
2023-10-22 21:00:56,2023-10-23 21:19:34,UTC-07:00,2023-10-22 21:00:56,2023-10-23 06:45:49,94,13.9,487,584,357,48,82,97,518,29,83,59,false
2023-10-21 23:10:47,2023-10-22 21:00:56,UTC-07:00,2023-10-21 23:10:47,2023-10-22 10:00:34,91,14.1,496,649,401,52,43,153,543,48,77,58,false
2023-10-20 23:30:35,2023-10-21 23:10:47,UTC-07:00,2023-10-20 23:30:35,2023-10-21 09:55:51,87,13.9,497,625,350,74,73,128,572,84,81,37,false
2023-10-19 20:45:05,2023-10-20 23:30:35,UTC-07:00,2023-10-19 20:45:05,2023-10-20 06:45:33,74,14.0,467,600,308,54,105,133,635,106,80,78,false
2023-10-18 21:00:05,2023-10-19 20:45:05,UTC-07:00,2023-10-18 21:00:05,2023-10-19 04:34:03,64,14.5,385,453,254,65,66,68,598,70,87,77,false
2023-10-17 20:40:49,2023-10-18 21:00:05,UTC-07:00,2023-10-17 20:40:49,2023-10-18 06:35:38,77,14.2,477,594,351,38,88,117,618,77,81,68,false
2023-10-16 21:00:56,2023-10-17 20:40:49,UTC-07:00,2023-10-16 21:00:56,2023-10-17 04:29:01,71,13.7,388,448,295,60,33,60,544,10,87,64,false
2023-10-15 20:45:49,2023-10-16 21:00:56,UTC-07:00,2023-10-15 20:45:49,2023-10-16 06:35:02,97,13.7,483,589,193,108,182,106,498,11,83,54,false
2023-10-14 22:31:23,2023-10-15 20:45:49,UTC-07:00,2023-10-14 22:31:23,2023-10-15 09:41:22,97,14.6,552,669,349,76,127,117,569,92,82,43,false
2023-10-13 20:45:13,2023-10-14 22:31:23,UTC-07:00,2023-10-14 10:40:00,2023-10-14 12:11:00,7,15.5,39,91,24,0,15,47,609,92,52,,true
2023-10-13 20:45:13,2023-10-14 22:31:23,UTC-07:00,2023-10-13 20:45:13,2023-10-14 06:20:48,77,14.9,490,575,294,73,123,85,633,114,87,54,false
2023-10-12 23:00:32,2023-10-13 20:45:13,UTC-07:00,2023-10-12 23:00:32,2023-10-13 09:04:13,65,14.5,426,603,242,72,112,177,654,117,71,40,false
2023-10-11 20:30:21,2023-10-12 23:00:32,UTC-07:00,2023-10-11 20:30:21,2023-10-12 04:32:20,63,14.6,395,481,307,40,48,86,629,86,86,75,false
2023-10-10 20:37:21,2023-10-11 20:30:21,UTC-07:00,2023-10-10 20:37:21,2023-10-11 06:45:39,71,14.2,429,608,307,108,14,179,601,81,72,67,false
2023-10-09 20:21:21,2023-10-10 20:37:21,UTC-07:00,2023-10-09 20:21:21,2023-10-10 04:30:39,72,13.9,427,489,275,64,88,62,589,49,87,64,false
2023-10-08 20:15:43,2023-10-09 20:21:21,UTC-07:00,2023-10-08 20:15:43,2023-10-09 05:56:25,86,14.0,479,580,266,98,115,101,557,69,84,47,false
2023-10-07 23:14:46,2023-10-08 20:15:43,UTC-07:00,2023-10-07 23:14:46,2023-10-08 09:29:49,76,14.0,444,615,267,79,98,171,582,48,79,40,false
2023-10-06 21:01:02,2023-10-07 23:14:46,UTC-07:00,2023-10-06 21:01:02,2023-10-07 06:20:50,85,14.4,433,559,295,79,59,126,509,110,78,68,false
2023-10-05 20:59:15,2023-10-06 21:01:02,UTC-07:00,2023-10-06 16:09:09,2023-10-06 17:49:07,15,,89,89,89,0,0,0,598,110,100,,true
2023-10-05 20:59:15,2023-10-06 21:01:02,UTC-07:00,2023-10-05 20:59:15,2023-10-06 06:47:11,65,15.3,400,587,299,69,32,172,620,88,75,79,false
2023-10-04 20:52:28,2023-10-05 20:59:15,UTC-07:00,2023-10-04 20:52:28,2023-10-05 04:27:10,70,14.8,412,454,309,75,28,42,589,66,90,77,false
2023-10-03 21:00:59,2023-10-04 20:52:28,UTC-07:00,2023-10-03 21:00:59,2023-10-04 06:43:15,79,14.3,487,582,383,31,73,95,621,71,84,73,false
2023-10-02 20:29:37,2023-10-03 21:00:59,UTC-07:00,2023-10-02 20:29:37,2023-10-03 04:34:35,74,13.8,406,484,278,74,54,78,550,13,83,62,false
2023-10-01 21:30:20,2023-10-02 20:29:37,UTC-07:00,2023-10-01 21:30:20,2023-10-02 06:46:27,96,13.4,480,556,232,91,157,76,501,13,86,,false
2023-09-30 22:19:59,2023-10-01 21:30:20,UTC-07:00,2023-09-30 22:19:59,2023-10-01 08:47:58,96,14.1,528,627,255,114,159,99,550,64,87,,false
2023-09-25 20:44:12,2023-09-26 20:44:12,UTC-07:00,2023-09-25 20:44:12,2023-09-26 04:35:56,81,13.8,411,471,239,57,115,60,511,24,89,48,false
2023-09-24 20:37:41,2023-09-25 20:44:12,UTC-07:00,2023-09-24 20:37:41,2023-09-25 06:43:47,93,13.8,522,606,353,83,86,84,561,72,86,27,false
