Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2023-12-13 20:45:35,2023-12-14 22:01:52,UTC-08:00,2023-12-14 05:21:00,2023-12-14 06:40:29,79,Swimming,11.8,612.0,172,127,17,36,39,7,0,false
2023-12-12 21:00:57,2023-12-13 20:45:35,UTC-08:00,2023-12-13 15:06:00,2023-12-13 16:55:29,109,Swimming,13.6,884.0,178,129,15,40,36,9,0,false
2023-12-11 21:00:38,2023-12-12 21:00:57,UTC-08:00,2023-12-12 15:04:30,2023-12-12 16:52:29,107,Swimming,14.7,1002.0,170,136,9,26,48,17,0,false
2023-12-10 21:00:10,2023-12-11 21:00:38,UTC-08:00,2023-12-11 17:16:30,2023-12-11 17:58:00,41,Activity,8.1,272.0,165,121,32,35,20,7,0,false
2023-12-10 21:00:10,2023-12-11 21:00:38,UTC-08:00,2023-12-11 15:06:00,2023-12-11 16:55:29,109,Swimming,16.0,1111.0,177,140,10,14,39,34,0,false
2023-12-08 21:00:04,2023-12-10 00:07:09,UTC-08:00,2023-12-09 09:01:30,2023-12-09 09:59:59,58,Swimming,8.5,341.0,169,118,46,38,11,4,0,false
2023-12-08 21:00:04,2023-12-10 00:07:09,UTC-08:00,2023-12-09 07:01:30,2023-12-09 08:49:29,107,Swimming,14.7,966.0,176,134,15,23,40,21,0,false
2023-12-07 20:45:01,2023-12-08 21:00:04,UTC-08:00,2023-12-08 17:05:00,2023-12-08 18:09:00,64,Weightlifting,7.7,298.0,159,111,30,34,10,1,0,false
2023-12-07 20:45:01,2023-12-08 21:00:04,UTC-08:00,2023-12-08 15:00:30,2023-12-08 16:59:29,118,Swimming,17.2,1232.0,188,141,12,18,24,35,7,false
2023-12-06 20:45:01,2023-12-07 20:45:01,UTC-08:00,2023-12-07 05:18:00,2023-12-07 06:41:59,83,Swimming,15.9,1009.0,186,149,1,10,43,46,0,false
2023-12-05 21:09:50,2023-12-06 20:45:01,UTC-08:00,2023-12-06 17:08:00,2023-12-06 18:07:00,59,Weightlifting,9.6,414.0,167,124,28,47,18,7,0,false
2023-12-05 21:09:50,2023-12-06 20:45:01,UTC-08:00,2023-12-06 15:00:00,2023-12-06 17:00:00,120,Swimming,16.7,1241.0,185,141,8,24,30,34,4,false
2023-12-04 21:46:38,2023-12-05 21:09:50,UTC-08:00,2023-12-05 14:45:00,2023-12-05 16:02:59,77,Swimming,10.1,482.0,165,119,31,42,16,5,0,false
2023-11-30 21:17:46,2023-12-01 22:23:28,UTC-08:00,2023-12-01 07:25:30,2023-12-01 08:13:20,47,Activity,8.5,322.0,163,121,23,36,29,3,0,false
2023-11-29 23:25:11,2023-11-30 21:17:46,UTC-08:00,2023-11-30 15:06:00,2023-11-30 15:43:29,37,Swimming,7.8,270.0,164,124,17,46,30,4,0,false
2023-11-26 20:50:18,2023-11-27 21:05:28,UTC-08:00,2023-11-27 15:00:30,2023-11-27 16:59:29,118,Swimming,13.1,852.0,165,123,21,34,36,3,0,false
2023-11-24 21:45:42,2023-11-25 23:00:57,UTC-08:00,2023-11-25 07:03:00,2023-11-25 08:59:59,116,Swimming,14.4,1024.0,174,132,9,32,47,11,0,false
2023-11-23 23:31:19,2023-11-24 21:45:42,UTC-08:00,2023-11-24 09:13:30,2023-11-24 09:34:41,21,Activity,5.2,105.0,144,111,39,48,4,0,0,false
2023-11-23 23:31:19,2023-11-24 21:45:42,UTC-08:00,2023-11-24 07:01:30,2023-11-24 08:59:52,118,Swimming,14.0,1009.0,167,130,8,38,50,4,0,false
2023-11-22 00:12:42,2023-11-22 23:31:52,UTC-08:00,2023-11-22 17:15:00,2023-11-22 17:58:59,43,Weightlifting,7.9,284.0,158,120,28,46,20,1,0,false
2023-11-22 00:12:42,2023-11-22 23:31:52,UTC-08:00,2023-11-22 15:00:30,2023-11-22 16:59:29,118,Swimming,17.3,1270.0,183,142,11,8,38,33,5,false
2023-11-20 20:30:38,2023-11-22 00:12:42,UTC-08:00,2023-11-21 15:06:00,2023-11-21 17:01:29,115,Swimming,14.7,1062.0,168,134,7,30,52,10,0,false
2023-11-20 20:30:38,2023-11-22 00:12:42,UTC-08:00,2023-11-21 05:16:30,2023-11-21 07:12:07,115,Swimming,14.0,873.0,177,125,25,24,32,12,0,false
2023-11-19 23:49:06,2023-11-20 20:30:38,UTC-08:00,2023-11-20 17:13:30,2023-11-20 17:59:08,45,Weightlifting,8.1,320.0,156,123,17,60,22,0,0,false
2023-11-19 23:49:06,2023-11-20 20:30:38,UTC-08:00,2023-11-20 15:01:30,2023-11-20 16:59:40,118,Swimming,18.3,1408.0,189,149,8,12,21,47,12,false
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,2023-11-16 17:18:00,2023-11-16 17:55:13,37,Weightlifting,9.9,336.0,165,133,13,16,49,16,0,false
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,2023-11-16 15:03:00,2023-11-16 16:56:59,113,Swimming,13.8,917.0,173,128,10,33,44,8,0,false
2023-11-15 20:30:46,2023-11-16 20:45:49,UTC-08:00,2023-11-16 05:21:00,2023-11-16 06:46:29,85,Swimming,12.6,687.0,175,128,17,33,40,9,0,false
2023-11-14 21:00:09,2023-11-15 20:30:46,UTC-08:00,2023-11-15 17:15:30,2023-11-15 18:00:23,44,Weightlifting,6.8,237.0,145,114,33,52,6,0,0,false
2023-11-14 21:00:09,2023-11-15 20:30:46,UTC-08:00,2023-11-15 15:03:00,2023-11-15 16:47:59,104,Swimming,14.6,973.0,170,135,10,20,51,17,0,false
2023-11-13 20:25:28,2023-11-14 21:00:09,UTC-08:00,2023-11-14 05:16:30,2023-11-14 06:47:59,91,Swimming,14.3,874.0,174,136,7,28,46,19,0,false
2023-11-12 20:46:34,2023-11-13 20:25:28,UTC-08:00,2023-11-13 17:04:30,2023-11-13 18:02:59,58,Swimming,10.3,458.0,171,127,10,61,21,8,0,false
2023-11-12 20:46:34,2023-11-13 20:25:28,UTC-08:00,2023-11-13 15:01:30,2023-11-13 16:52:29,110,Swimming,14.3,944.0,174,131,16,21,48,12,0,false
2023-11-10 21:00:44,2023-11-11 23:10:25,UTC-08:00,2023-11-11 07:00:00,2023-11-11 08:59:59,119,Swimming,15.5,1102.0,177,134,9,19,40,25,0,false
